population,minimum_age,maximum_age,gender,zipcode,geo_id
76,0.0,4.0,female,56150,8600000US56150
207,67.0,69.0,male,1854,8600000US01854
11,85.0,nan,female,14066,8600000US14066
453,nan,nan,female,83431,8600000US83431
86,30.0,34.0,female,10974,8600000US10974
6,15.0,17.0,female,10979,8600000US10979
12,60.0,61.0,female,82516,8600000US82516
1171,55.0,59.0,male,8902,8600000US08902
4,85.0,nan,female,95257,8600000US95257
46,50.0,54.0,female,75667,8600000US75667
1087,45.0,49.0,male,6066,8600000US06066
28,80.0,84.0,female,14504,8600000US14504
14,60.0,61.0,female,67416,8600000US67416
64,35.0,39.0,male,96020,8600000US96020
442,40.0,44.0,female,48215,8600000US48215
239,20.0,20.0,female,98125,8600000US98125
140,85.0,nan,female,19301,8600000US19301
30,35.0,39.0,male,25692,8600000US25692
564,45.0,49.0,female,55008,8600000US55008
705,55.0,59.0,male,48846,8600000US48846
142,30.0,34.0,female,42544,8600000US42544
42,60.0,61.0,female,3844,8600000US03844
32,55.0,59.0,male,52721,8600000US52721
49,85.0,nan,female,22842,8600000US22842
114,30.0,34.0,female,16749,8600000US16749
58,35.0,39.0,female,4443,8600000US04443
56,21.0,21.0,male,62711,8600000US62711
179,30.0,34.0,female,2830,8600000US02830
1,21.0,21.0,female,45854,8600000US45854
8,20.0,20.0,female,54642,8600000US54642
2672,25.0,29.0,male,10472,8600000US10472
6,60.0,61.0,female,72624,8600000US72624
125,85.0,nan,male,28540,8600000US28540
640,50.0,54.0,male,36693,8600000US36693
7,70.0,74.0,female,62663,8600000US62663
28,15.0,17.0,female,16362,8600000US16362
347,35.0,39.0,male,29702,8600000US29702
118,15.0,17.0,male,3561,8600000US03561
6,18.0,19.0,female,65075,8600000US65075
4,30.0,34.0,female,44243,8600000US44243
870,40.0,44.0,female,19150,8600000US19150
2,20.0,20.0,female,53911,8600000US53911
389,21.0,21.0,male,94558,8600000US94558
391,nan,nan,nan,36615,8600000US36615
138,70.0,74.0,female,1364,8600000US01364
20,35.0,39.0,female,65069,8600000US65069
2,0.0,4.0,male,95735,8600000US95735
604,55.0,59.0,female,73010,8600000US73010
9,67.0,69.0,female,5352,8600000US05352
212,45.0,49.0,male,23015,8600000US23015
